Stock Moves/Sale Line/Barcode,Design Code,Size,Quantity,Designs Artwork,Designs Mockups đã fix,Stock Moves/Barcode,,,,Link Designs,Link Mockup,Hình ảnh Mockup,Barcode,Hình ảnh QR code,154,168
pb101147272017_45013,SherpaBlanket-1534036,150*200cm,2,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272017_45013_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147271994_44956,SherpaBlanket-1534036,130́*150cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147271994_44956_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147271980_44928,SherpaBlanket-1534036,150*200cm,2,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147271980_44928_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147271977_44947,SherpaBlanket-1534036,130́*150cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147271977_44947_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147272051_44929,SherpaBlanket-1534036,150*200cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272051_44929_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147272004_44921,SherpaBlanket-1534036,150*200cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272004_44921_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147272008_45002,SherpaBlanket-1534036,130́*150cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272008_45002_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147272039_44999,SherpaBlanket-1534036,150*200cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272039_44999_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147272023_45045,SherpaBlanket-1534036,150*200cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272023_45045_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147272033_44995,SherpaBlanket-1534036,130́*150cm,3,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272033_44995_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
